index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
127,440,120,120,80,80,40,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:49+00:00,
150,440,120,80,80,120,40,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:19+00:00,
151,480,120,120,80,80,80,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:49+00:00,
161,480,120,80,80,120,80,40,40,40,40,0,160,1,openai/gpt-oss-120b,holistico,2026-09-03T20:24:19+00:00,
164,480,120,120,80,80,80,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:24:49+00:00,
165,480,120,80,80,120,80,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:25:20+00:00,
169,480,120,120,80,80,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:25:49+00:00,
172,480,120,120,80,80,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:26:20+00:00,
175,480,120,80,80,120,80,80,80,80,80,40,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:26:50+00:00,
177,480,120,80,80,120,80,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:27:19+00:00,
178,480,120,120,80,120,40,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:27:49+00:00,
180,480,120,80,80,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:28:19+00:00,
186,480,120,120,80,120,40,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:28:50+00:00,
190,480,120,120,80,120,40,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:29:19+00:00,
195,480,120,120,80,120,40,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:29:49+00:00,
200,520,120,120,80,120,80,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:30:20+00:00,
206,520,120,120,80,80,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:30:49+00:00,
209,520,120,120,80,120,80,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:31:19+00:00,
210,520,120,80,80,120,120,120,120,120,80,120,560,1,openai/gpt-oss-120b,holistico,2026-09-03T20:31:49+00:00,
211,520,120,120,80,120,80,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:32:20+00:00,
213,520,120,120,80,80,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:32:49+00:00,
216,520,120,120,80,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:33:20+00:00,
221,520,120,80,120,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:33:50+00:00,
222,520,120,120,80,120,80,120,120,120,80,40,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:34:19+00:00,
223,520,120,120,80,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:34:49+00:00,
225,520,120,120,120,120,40,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:19+00:00,
228,520,120,120,80,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:49+00:00,
230,520,120,120,80,120,80,80,80,80,80,80,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:19+00:00,
232,520,120,120,80,120,80,80,120,80,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:49+00:00,
235,520,120,120,80,120,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:19+00:00,
240,520,120,120,80,120,80,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:49+00:00,
248,520,120,120,80,120,80,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:19+00:00,
256,520,120,120,80,120,80,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:49+00:00,
267,560,120,120,120,120,80,40,40,80,40,40,240,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:19+00:00,
268,560,120,120,120,120,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:49+00:00,
273,560,120,160,120,160,0,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:20+00:00,
278,560,120,80,120,120,120,120,120,120,120,120,600,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:49+00:00,
281,560,120,160,120,120,40,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:20+00:00,
283,560,120,120,120,120,80,80,80,120,80,80,440,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:49+00:00,
284,560,120,120,120,120,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:19+00:00,
286,560,120,120,80,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:50+00:00,
294,560,120,120,80,120,120,80,80,80,80,40,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:19+00:00,
295,560,120,120,120,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:50+00:00,
315,560,120,120,120,120,80,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:19+00:00,
316,560,120,160,80,120,80,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:49+00:00,
317,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:19+00:00,
319,600,120,120,120,120,120,40,120,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:50+00:00,
321,600,120,120,120,120,120,80,120,120,80,40,440,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:19+00:00,
322,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:49+00:00,
325,600,120,120,120,120,120,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:20+00:00,
328,600,120,160,80,160,80,80,120,120,120,80,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:49+00:00,
330,600,120,120,120,120,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:19+00:00,
336,600,120,120,120,120,120,120,120,120,80,80,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:49+00:00,
338,600,120,120,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:20+00:00,
339,600,120,120,120,120,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:49+00:00,
341,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:20+00:00,
346,600,120,120,120,120,120,40,80,40,40,40,240,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:49+00:00,
348,600,120,120,120,120,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:19+00:00,
355,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:49+00:00,
364,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:19+00:00,
365,600,120,120,120,120,120,120,120,120,80,120,560,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:50+00:00,
368,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:20+00:00,
372,600,120,120,120,120,120,40,80,80,40,80,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:49+00:00,
379,600,120,120,120,120,120,80,80,80,80,80,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:24:20+00:00,
385,600,120,120,120,120,120,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:24:49+00:00,
387,600,120,120,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:25:19+00:00,
388,600,120,160,120,120,80,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:25:50+00:00,
390,600,120,120,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:26:19+00:00,
392,600,120,120,120,120,120,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:26:49+00:00,
398,600,120,120,120,120,120,80,80,120,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:27:19+00:00,
401,600,120,120,120,120,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:27:49+00:00,
402,600,120,120,120,120,120,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:28:20+00:00,
404,600,120,120,120,120,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:28:49+00:00,
405,600,120,120,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:29:19+00:00,
406,600,120,160,120,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:29:50+00:00,
411,600,120,120,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:30:19+00:00,
420,600,120,160,120,120,80,80,80,80,80,40,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:30:49+00:00,
423,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:31:19+00:00,
424,600,120,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:31:50+00:00,
436,640,120,120,120,120,160,40,80,80,40,80,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:32:20+00:00,
439,640,120,160,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:32:49+00:00,
444,640,120,160,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:33:19+00:00,
445,640,120,120,120,160,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:33:50+00:00,
448,640,120,160,120,120,120,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:34:20+00:00,
453,640,120,160,120,160,80,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:34:49+00:00,
456,640,120,160,120,120,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:19+00:00,
458,640,120,160,120,120,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:49+00:00,
468,640,120,120,120,120,160,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:19+00:00,
486,680,120,160,120,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:49+00:00,
489,680,120,160,120,120,160,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:19+00:00,
491,680,120,160,120,160,120,80,120,80,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:49+00:00,
492,680,120,160,120,160,120,80,80,80,80,80,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:19+00:00,
496,680,120,160,120,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:49+00:00,
498,680,120,160,120,160,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:19+00:00,
500,680,120,160,120,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:50+00:00,
504,680,120,160,120,160,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:19+00:00,
515,680,120,160,120,160,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:49+00:00,
516,680,120,160,120,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:20+00:00,
517,680,120,160,120,160,120,80,120,80,80,80,440,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:49+00:00,
519,680,120,160,120,120,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:19+00:00,
529,680,120,160,120,160,120,40,80,80,40,80,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:50+00:00,
534,720,120,120,160,160,160,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:21+00:00,
536,720,120,120,160,120,200,120,120,120,80,40,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:49+00:00,
541,720,120,160,160,120,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:20+00:00,
554,720,120,160,120,160,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:49+00:00,
564,760,120,120,160,160,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:19+00:00,
568,760,120,160,120,160,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:50+00:00,
574,800,120,160,160,160,200,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:19+00:00,
576,800,120,160,160,160,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:50+00:00,
588,840,120,160,200,160,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:20+00:00,
594,880,120,160,200,200,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:51+00:00,
597,440,160,80,80,120,0,80,120,120,80,40,440,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:19+00:00,
604,560,160,120,80,120,80,80,80,80,80,40,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:49+00:00,
605,560,160,120,80,80,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:19+00:00,
609,560,160,80,80,200,40,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:50+00:00,
615,640,160,120,120,120,120,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:19+00:00,
623,640,160,120,80,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:49+00:00,
626,640,160,120,120,120,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:19+00:00,
627,640,160,120,120,160,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:49+00:00,
629,640,160,160,120,120,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:19+00:00,
631,680,160,120,120,120,160,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:49+00:00,
640,680,160,120,120,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:19+00:00,
643,680,160,120,120,160,120,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:49+00:00,
645,680,160,120,120,160,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:24:20+00:00,
649,680,160,160,120,120,120,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:24:49+00:00,
651,680,160,120,120,160,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:25:19+00:00,
656,680,160,160,120,120,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:25:50+00:00,
666,680,160,120,120,120,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:26:19+00:00,
674,720,160,160,120,120,160,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:26:49+00:00,
675,720,160,160,120,160,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:27:19+00:00,
676,720,160,160,120,160,120,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:27:49+00:00,
679,720,160,160,120,160,120,80,120,120,120,120,560,1,openai/gpt-oss-120b,holistico,2026-09-03T20:28:19+00:00,
682,720,160,120,120,160,160,40,80,80,40,80,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:28:49+00:00,
684,720,160,160,120,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:29:20+00:00,
690,720,160,160,120,160,120,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:29:50+00:00,
699,720,160,160,120,160,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:30:19+00:00,
702,720,160,160,120,160,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:30:49+00:00,
703,720,160,120,120,160,160,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:31:19+00:00,
704,720,160,160,120,160,120,120,120,120,80,120,560,1,openai/gpt-oss-120b,holistico,2026-09-03T20:31:49+00:00,
716,720,160,160,120,120,160,80,80,80,80,40,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:32:20+00:00,
721,760,160,120,160,160,160,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:32:49+00:00,
724,760,160,160,120,160,160,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:33:19+00:00,
727,760,160,160,160,120,160,80,80,80,80,40,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:33:50+00:00,
728,760,160,120,120,200,160,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:34:19+00:00,
729,760,160,160,160,160,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:34:49+00:00,
738,760,160,160,120,160,160,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:20+00:00,
744,760,160,160,120,160,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:49+00:00,
747,760,160,160,160,160,120,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:20+00:00,
749,760,160,160,120,160,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:49+00:00,
752,760,160,160,120,160,160,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:19+00:00,
754,760,160,160,160,160,120,120,120,120,80,120,560,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:49+00:00,
755,760,160,160,120,160,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:20+00:00,
757,760,160,160,120,160,160,120,120,120,80,120,560,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:49+00:00,
758,760,160,160,120,160,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:19+00:00,
762,800,160,160,160,160,160,120,120,120,120,80,560,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:49+00:00,
770,800,160,120,160,160,200,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:19+00:00,
771,800,160,160,160,160,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:49+00:00,
773,800,160,160,120,200,160,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:20+00:00,
780,800,160,120,160,160,200,80,120,120,80,40,440,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:49+00:00,
789,800,160,160,160,160,160,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:20+00:00,
790,800,160,160,120,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:50+00:00,
792,800,160,160,160,160,160,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:19+00:00,
793,800,160,160,120,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:50+00:00,
795,800,160,160,160,160,160,160,160,160,120,160,760,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:19+00:00,
798,800,160,200,160,160,120,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:49+00:00,
800,800,160,160,120,160,200,80,80,80,40,80,360,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:19+00:00,
802,800,160,160,120,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:49+00:00,
810,840,160,160,120,200,200,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:19+00:00,
811,840,160,160,160,160,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:50+00:00,
814,840,160,160,160,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:19+00:00,
815,840,160,160,160,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:49+00:00,
822,840,160,160,160,200,160,80,80,80,80,80,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:19+00:00,
823,840,160,160,160,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:49+00:00,
825,840,160,160,160,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:19+00:00,
827,840,160,160,160,160,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:50+00:00,
835,880,160,200,200,160,160,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:19+00:00,
839,880,160,200,160,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:49+00:00,
841,880,160,200,160,200,160,120,160,160,120,80,640,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:19+00:00,
844,880,160,160,160,200,200,120,120,160,120,160,680,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:49+00:00,
846,880,160,200,200,160,160,80,120,120,80,40,440,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:19+00:00,
854,880,160,200,160,200,160,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:49+00:00,
863,920,160,200,160,200,200,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:19+00:00,
868,920,160,160,200,200,200,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:23:49+00:00,
875,920,160,200,200,200,160,80,120,120,80,40,440,1,openai/gpt-oss-120b,holistico,2026-09-03T20:24:19+00:00,
